timestamp,close,equity,trades_count,regime,volatility,pnl
2025-01-23 09:15:00+05:30,23109.75,100000.0,0,ranging,high,0.0
2025-01-23 09:20:00+05:30,23119.05,100000.0,0,ranging,high,0.0
2025-01-23 09:25:00+05:30,23107.15,100000.0,0,ranging,high,0.0
2025-01-23 09:30:00+05:30,23114.45,100000.0,0,ranging,high,0.0
2025-01-23 09:35:00+05:30,23172.0,100000.0,0,ranging,high,0.0
2025-01-23 09:40:00+05:30,23197.95,100000.0,0,ranging,high,0.0
2025-01-23 09:45:00+05:30,23203.6,100000.0,0,ranging,high,0.0
2025-01-23 09:50:00+05:30,23207.7,100000.0,0,ranging,high,0.0
2025-01-23 09:55:00+05:30,23203.3,100000.0,0,ranging,high,0.0
2025-01-23 10:00:00+05:30,23215.1,100000.0,0,ranging,high,0.0
2025-01-23 10:05:00+05:30,23219.65,100000.0,0,ranging,high,0.0
2025-01-23 10:10:00+05:30,23217.6,100000.0,0,ranging,high,0.0
2025-01-23 10:15:00+05:30,23225.75,100000.0,0,ranging,high,0.0
2025-01-23 10:20:00+05:30,23235.9,76764.1,1,ranging,low,-23235.899999999994
2025-01-23 10:25:00+05:30,23240.4,76764.1,1,ranging,low,-23235.899999999994
2025-01-23 10:30:00+05:30,23241.75,76764.1,1,ranging,low,-23235.899999999994
2025-01-23 10:35:00+05:30,23226.15,99990.25,1,ranging,low,-9.75
2025-01-23 10:40:00+05:30,23235.45,76754.8,2,ranging,low,-23245.199999999997
2025-01-23 10:45:00+05:30,23232.4,76754.8,2,ranging,low,-23245.199999999997
2025-01-23 10:50:00+05:30,23207.65,99962.45000000001,2,ranging,low,-37.54999999998836
2025-01-23 10:55:00+05:30,23211.9,76750.55000000002,3,ranging,low,-23249.449999999983
2025-01-23 11:00:00+05:30,23208.85,76750.55000000002,3,ranging,low,-23249.449999999983
2025-01-23 11:05:00+05:30,23228.5,99979.05000000002,3,ranging,low,-20.949999999982538
2025-01-23 11:10:00+05:30,23223.75,76755.30000000002,4,ranging,low,-23244.699999999983
2025-01-23 11:15:00+05:30,23223.3,76755.30000000002,4,ranging,low,-23244.699999999983
2025-01-23 11:20:00+05:30,23219.7,76755.30000000002,4,ranging,low,-23244.699999999983
2025-01-23 11:25:00+05:30,23225.2,76755.30000000002,4,ranging,low,-23244.699999999983
2025-01-23 11:30:00+05:30,23232.4,76755.30000000002,4,ranging,low,-23244.699999999983
2025-01-23 11:35:00+05:30,23232.45,76755.30000000002,4,ranging,low,-23244.699999999983
2025-01-23 11:40:00+05:30,23221.9,76755.30000000002,4,ranging,low,-23244.699999999983
2025-01-23 11:45:00+05:30,23202.75,99958.05000000002,4,ranging,low,-41.94999999998254
2025-01-23 11:50:00+05:30,23205.7,76752.35000000002,5,ranging,low,-23247.64999999998
